window_end,active_games,bucket0_ratio
85000,1563.09,0.85
85100,1555.65,0.85
85200,1551.91,0.85
85300,1553.53,0.85
85400,1561.73,0.85
85500,1552.40,0.85
85600,1549.21,0.85
85700,1501.99,0.84
85800,1248.26,0.84
85900,1268.22,0.84
86000,1668.39,0.85
86100,1598.51,0.84
86200,1517.31,0.85
86300,1440.65,0.85
86400,1420.32,0.85
86500,1377.11,0.85
86600,1361.08,0.85
86700,1336.11,0.85
86800,1267.94,0.86
86900,1263.50,0.85
87000,1247.98,0.85
87100,1229.19,0.85
87200,1223.07,0.85
87300,1218.38,0.85
87400,1190.80,0.84
87500,1155.00,0.83
87600,1438.90,0.85
87700,1546.40,0.85
87800,1509.92,0.86
87900,1478.27,0.86
88000,1461.71,0.85
88100,1434.97,0.85
88200,1425.45,0.86
88300,1412.32,0.85
88400,1386.93,0.85
88500,1372.30,0.85
88600,1232.41,0.85
88700,1116.63,0.85
88800,1018.80,0.84
88900,994.95,0.85
89000,882.43,0.85
89100,687.67,0.85
89200,1324.23,0.85
89300,1410.86,0.85
89400,1356.53,0.84
89500,1340.87,0.85
89600,1320.77,0.84
89700,1308.54,0.84
89800,1271.50,0.84
89900,1245.63,0.85
90000,1215.80,0.84
90100,1206.24,0.85
90200,1048.49,0.84
90300,900.84,0.84
90400,694.12,0.84
90500,684.21,0.84
90600,569.18,0.83
90700,1363.66,0.81
90800,1293.84,0.81
90900,1224.96,0.82
91000,1177.59,0.81
91100,1112.81,0.81
91200,1130.29,0.81
91300,1068.63,0.81
91400,1051.11,0.80
91500,1032.23,0.83
91600,1077.31,0.82
91700,997.33,0.82
91800,1049.89,0.83
91900,956.27,0.82
92000,1024.91,0.82
92100,1188.56,0.83
92200,1146.81,0.83
92300,1121.44,0.83
92400,1090.39,0.83
92500,1057.57,0.83
92600,1005.64,0.83
92700,980.00,0.82
92800,966.50,0.83
92900,882.48,0.83
93000,877.76,0.82
93100,856.72,0.82
93200,448.47,0.82
93300,1075.28,0.79
93400,1076.46,0.79
93500,1009.03,0.79
93600,980.31,0.79
93700,935.20,0.79
93800,876.85,0.79
93900,836.55,0.79
94000,823.75,0.78
94100,700.96,0.79
94200,656.60,0.79
94300,460.30,0.78
94400,672.96,0.82
94500,1053.90,0.89
94600,997.73,0.88
94700,943.22,0.88
94800,887.66,0.88
94900,829.77,0.88
95000,783.52,0.88
95100,776.98,0.88
95200,825.70,0.88
95300,704.50,0.88
95400,590.10,0.88
95500,843.50,0.91
95600,837.15,0.91
95700,782.61,0.91
95800,710.79,0.91
95900,658.51,0.91
96000,634.03,0.91
96100,520.42,0.90
96200,424.07,0.90
96300,421.03,0.90
96400,591.24,0.91
96500,795.13,0.93
96600,730.27,0.92
96700,645.89,0.93
96800,598.40,0.92
96900,593.59,0.92
97000,505.61,0.91
97100,388.88,0.92
97200,350.66,0.91
97300,719.82,0.94
97400,678.87,0.94
97500,674.15,0.94
97600,623.73,0.94
97700,546.81,0.94
97800,426.05,0.94
97900,281.06,0.94
98000,463.90,0.96
98100,521.56,0.97
98200,431.60,0.97
98300,344.71,0.97
98400,264.61,0.97
98500,183.03,0.97
98600,359.98,0.97
98700,480.27,0.97
98800,448.52,0.97
98900,339.90,0.97
99000,276.63,0.97
99100,368.42,0.97
99200,371.09,0.98
99300,335.95,0.98
99400,292.24,0.98
99500,258.09,0.97
99600,229.67,0.81
99700,200.48,0.84
99800,163.46,0.99
99900,117.09,1.00
100000,49.17,1.00
