window_end,active_games,bucket0_ratio
93500,1339.24,0.74
93600,1356.98,0.74
93700,1322.44,0.74
93800,1233.43,0.74
93900,1220.16,0.74
94000,1152.62,0.73
94100,1113.31,0.74
94200,1082.85,0.74
94300,992.70,0.74
94400,1008.06,0.74
94500,878.82,0.73
94600,766.15,0.73
94700,1442.92,0.81
94800,1402.10,0.83
94900,1276.89,0.83
95000,1341.83,0.83
95100,1230.41,0.83
95200,1138.96,0.82
95300,1131.96,0.82
95400,1080.49,0.83
95500,1036.99,0.82
95600,988.44,0.82
95700,953.68,0.82
95800,917.27,0.82
95900,879.62,0.82
96000,791.75,0.82
96100,934.05,0.80
96200,1202.49,0.83
96300,1170.49,0.85
96400,1089.80,0.85
96500,1020.72,0.84
96600,1014.50,0.84
96700,913.36,0.85
96800,846.36,0.84
96900,685.97,0.84
97000,626.35,0.84
97100,560.39,0.84
97200,335.26,0.84
97300,390.73,0.84
97400,995.11,0.89
97500,958.06,0.92
97600,916.39,0.91
97700,863.44,0.91
97800,814.15,0.91
97900,725.71,0.91
98000,817.59,0.91
98100,577.93,0.90
98200,507.39,0.90
98300,440.53,0.90
98400,744.41,0.92
98500,702.23,0.95
98600,622.38,0.95
98700,555.75,0.94
98800,502.67,0.94
98900,453.20,0.93
99000,385.73,0.94
99100,408.78,0.94
99200,482.66,0.98
99300,464.43,0.98
99400,430.15,0.98
99500,361.56,0.98
99600,254.80,0.98
99700,252.04,0.99
99800,188.11,0.99
99900,125.06,0.99
100000,44.21,1.00
